Country,Age
Japan,48.4
Monaco,45.1
Germany,44.9
Italy,44.5
Greece,44.5
Portugal,44.3
Bulgaria,44.3
Slovenia,43.5
Croatia,43.2
Spain,43.2
Austria,43.1
Estonia,42.8
Latvia,42.6
Lithuania,42.5
Malta,42.4
Czech Republic,42.3
Hungary,42.3
Finland,42.2
Slovakia,41.9
Poland,41.6
Sweden,41.5
Denmark,41.3
Belgium,41.2
Netherlands,41.1
Switzerland,41.1
France,40.9
United Kingdom,40.5
Norway,40.4
Canada,41.4
United States,38.1
Australia,37.9
New Zealand,38.5
China,37
Russia,39.6
India,27
Brazil,32.6
Mexico,29.3
South Africa,28.9
Nigeria,18.1
Indonesia,30.2
Pakistan,22.8
Bangladesh,27.1
South Korea,42.3
North Korea,33.6
Philippines,25.8
Vietnam,30.5
Thailand,40.7
Cambodia,26.6
Myanmar,29.8
Burma,29.8
Laos,23.6
Afghanistan,19.5
Iraq,20.6
Iran,32.7
Saudi Arabia,31.3
Egypt,25.9
Turkey,32.5
Israel,30.8
United Arab Emirates,33.7
Kuwait,36.9
Qatar,32.3
Oman,31.2
Bahrain,32.7
Jordan,24.3
Lebanon,31.5
Syria,26.5
Yemen,20.4
Ethiopia,19.8
Kenya,20.4
Tanzania,18.4
Uganda,16.7
South Sudan,19.2
DR Congo,17.7
Sudan,19.8
Somalia,18.3
Angola,16.8
Zambia,17.7
Zimbabwe,19.6
Botswana,24.8
Namibia,22.9
Mozambique,18.6
Madagascar,20.1
Mauritius,37.9
Seychelles,34.3
Taiwan,42.5
Hong Kong,45.7
Singapore,42.2
Malaysia,30.7
Brunei,31.4
Maldives,29.3
Fiji,29.7
Papua New Guinea,22.2
Solomon Islands,19.8
Vanuatu,23.1
Kiribati,22.4
Samoa,23.7
Tonga,22.6
Tuvalu,26.1
Nauru,27.9
Micronesia,25.3
Marshall Islands,30.5
Palau,34.2
Guam,31.5
Puerto Rico,42.9
Northern Mariana Islands,35.5
British Virgin Islands,37.9
Cayman Islands,38.1
Bermuda,44.4
San Marino,45.4
Liechtenstein,43.9
Andorra,44.9
Argentina,31.7
Chile,34.4
Colombia,31.4
Peru,30.6
Venezuela,29.8
Ecuador,28.4
Bolivia,25.5
Paraguay,26.8
Uruguay,35.6
Guyana,26.5
Suriname,29.8
French Guiana,25.2
Tunisia,31.6
azerbaijan,30.7
kazakhstan,30.7
panama,28.7
serbia,43.4
nicaragua,25.0
guatemala,22.9
sierra leone,19.4
burundi,17.1
romania,41.6
mongolia,27.3
burkina faso,17.6
central african republic,14.7
costa rica,32.9
armenia,34.1
ghana,20.4
georgia,38.3
el salvador,23.0
niger,14.8
togo,19.4
mali,16.0
chad,16.1
honduras,22.5
cameroon,18.7
ireland,37.4
haiti,23.0
jamaica,30.7
dominican republic,27.1
bosnia and herzegovina,41.2
senegal,17.8
liberia,19.4
albania,37.3
morocco,29.5
belarus,39.7
mauritania,19.7
ukraine,40.8
sri lanka,32.6
congo,19.0
