Country,Score
Afghanistan,0
Algeria,0
Angola,0
Bangladesh,0
Bhutan,0
Brunei,0
Burundi,0
Cameroon,0
Comoros,0
Egypt,0
Eritrea,0
Eswatini,0
Swaziland,0
Ethiopia,0
Gambia,0
Ghana,0
Guinea,0
Iran,0
Iraq,0
Jamaica,0
Kenya,0
Kuwait,0
Lebanon,0
Liberia,0
Libya,0
Malawi,0
Malaysia,0
Mauritania,0
Mauritius,0
Morocco,0
Myanmar,0
Burma,0
Namibia,0
Nigeria,0
Oman,0
Pakistan,0
Palestine,0
Qatar,0
Saudi Arabia,0
Senegal,0
Sierra Leone,0
Singapore,0
Somalia,0
South Sudan,0
Sri Lanka,0
Sudan,0
Syria,0
Tanzania,0
Togo,0
Tunisia,0
Turkmenistan,0
Uganda,0
United Arab Emirates,0
Uzbekistan,0
Yemen,0
Zambia,0
Zimbabwe,0
Australia,1.5
Austria,1.5
Chile,1
Croatia,1
Cyprus,1
Czech Republic,1
Estonia,1
Germany,1.5
Greece,1
Hungary,1
Israel,1
Italy,1
Japan,1
Liechtenstein,1
Lithuania,1
Montenegro,1
Peru,1
Poland,1
Serbia,1
Slovakia,1
Slovenia,1
Switzerland,1
Taiwan,1.5
United Kingdom,1.5
Argentina,2
Belgium,2
Brazil,2
Canada,2
Colombia,2
Costa Rica,2
Denmark,2
Ecuador,2
Finland,2
France,2
Iceland,2
Ireland,2
Luxembourg,2
Malta,2
Mexico,2
Netherlands,2
New Zealand,2
Norway,2
Portugal,2
South Africa,2
Spain,2
Sweden,2
United States,2
El Salvador,1
Nicaragua,1
Central African Republic,0
India,1
Bolivia,1
Azerbaijan,1
Bosnia and Herzegovina,1
Dominican Republic,1
Congo,1
Niger,1
Bahrain,1
Latvia,1
Albania,1
Guatemala,1
Indonesia,0
Philippines,1
Haiti,1
Turkey,1
Panama,1
Ukraine,1
Romania,1
Uruguay,2
Chad,0
Belarus,1
Jordan,1
Mali,1
Honduras,1
